authorID,newsamID,textCount,latitude,longitude,DisplayName,author,count
28,2513,"poems, 1",39,35,Asia Minor,Cowley,1
73,2513,"present, 1",39,35,Asia Minor,Rowson,1
11,2512,"several, 1; tenthmuse, 1",10.25,-61.61666667,Asphaltis Lake,Bradstreet,2
19,2511,"william, 2",53.756767,-1.661639,Atherton-Moor,Cavendish,2
51,2510,"museum, 1",49.77138889,1.753055556,Aumale,Lennox,1
60,2510,"gleaner, 1",49.77138889,1.753055556,Aumale,Murray,1
44,2509,"spectator04, 1; spectator03, 1",51.50722222,-0.1275,Austin-Fryars,Haywood,2
29,2507,"letters, 2",48.85666667,2.350833333,Avenue De Neuilly,Cushing,2
44,2501,"spectator02, 2",51.50722222,-0.1275,Bagnio,Haywood,2
26,2500,"appeal, 2",-12.52,-41.69,Bahia,Child,2
26,2499,"appeal, 2",12.65,-8,Bambarra,Child,2
45,2498,"anjou, 4",55.608,-1.709,Bamborough,Holford,4
1,2494,"newengland, 1",42.375,-70.74944444,Bay Of Massachusetts,Adams,1
24,2494,"pilgrimpeep, 1",42.375,-70.74944444,Bay Of Massachusetts,Cheney,1
24,2493,"pilgrimpeep, 2",41.96666667,-70.6,Bay Of Plymouth,Cheney,2
45,2492,"anjou, 2",50.82,-1.45,Beaulieu,Holford,2
1,2491,"newengland, 1",46.81666667,-71.21666667,Beauport,Adams,1
12,2491,"emily, 1",46.81666667,-71.21666667,Beauport,Brooke,1
44,2490,"spectator02, 2",51.512,-0.12345,Bedford-Head Tavern,Haywood,2
66,2489,"poems1667, 1; poems1664, 1",55.133,-1.583,Bedlington,Philips-K,2
26,2484,"appeal, 2",6.2337,-57.543,Berbice,Child,2
13,2483,"idomen, 1",32.33333333,-64.75,Bermuda,Brooks,1
24,2483,"pilgrimpeep, 1",32.33333333,-64.75,Bermuda,Cheney,1
1,2482,"jews, 2",46.95,7.45,Bern,Adams,2
51,2481,"museum, 2",55.66905,-1.78485,Bernicia,Lennox,2
71,2480,"poetical, 1",52.35,-7.333333333,Besborough,Robinson,1
81,2480,"sonnets, 1",52.35,-7.333333333,Besborough,Smith,1
29,2478,"letters, 2",48.92611111,2.217777778,Bezon,Cushing,2
5,2477,"works2, 1",52.48305556,-1.893611111,Birmingham,Barbauld,1
81,2477,"desmond, 1",52.48305556,-1.893611111,Birmingham,Smith,1
1,2475,"newengland, 2",33.47,-81.975,Black Swamp,Adams,2
57,2474,"letters, 1",50.856,-2.1648,Blandford,Manley,1
77,2474,"advocate, 1",50.856,-2.1648,Blandford,Scott,1
24,2473,"pilgrimpeep, 2",41.16972222,-71.58,Block Island,Cheney,2
19,2472,"william, 2",53.03333333,-1.816666667,Blore,Cavendish,2
74,2470,"alabama, 2",35.76472222,-82.26527778,Blue Ridge,Royall,2
33,2469,"maryqueen, 2",54.321932,-1.948106,Bolton,Deverell,2
1,2468,"newengland, 1",40.149824,-74.707642,Bordentown,Adams,1
60,2468,"gleaner, 1",40.149824,-74.707642,Bordentown,Murray,1
5,2467,"works2, 1",46.5,32.33333333,Borysthenes,Barbauld,1
91,2467,"mental, 1",46.5,32.33333333,Borysthenes,Wakefield,1
81,2463,"whatisshe, 1",-33.99799983,151.233,Botany Bay,Smith,1
89,2463,"changingscenes, 1",-33.99799983,151.233,Botany Bay,Unknown,1
60,2462,"gleaner, 2",55.8095,-4.0948,Bothwell,Murray,2
89,2461,"witchcrafts, 2",52.9375,-0.802,Bottesford,Unknown,2
1,2460,"jews, 1",47.08444444,2.396388889,Bourges,Adams,1
14,2460,"reformation, 1",47.08444444,2.396388889,Bourges,Bullard,1
5,2459,"legacy, 1; works2, 1",51.255,-0.308611111,Box-Hill,Barbauld,2
96,2458,"fallriver, 2",41.55,-72.18333333,Bozrahville,Williams,2
19,2457,"natpix, 1; william, 1",51.21666667,4.416666667,Brabant,Cavendish,2
1,2456,"jews, 2",41.55111111,-8.428333333,Braga,Adams,2
63,2454,"apologie, 2",51.016,-4.209,Brideford,Parr-S,2
57,2453,"letters, 2",50.7336,-2.7584,Bridgport,Manley,2
28,2452,"townbefore, 1",51.3,-3.616666667,Bristol Channel,Cowley,1
5,2452,"legacy, 1",51.3,-3.616666667,Bristol Channel,Barbauld,1
163,2443,"midwifery, 2",52.388,-2.765,Bromfield,Stone,2
11,2440,"several, 1; tenthmuse, 1",32.93111111,73.73083333,Bucephalon,Bradstreet,2
26,2439,"appeal, 2",13.46388889,-14.11472222,Bunda,Child,2
107,2438,"miscellanies, 2",51.5106,-0.1409,Burlington-Street,Jones-M,2
11,2435,"several, 1; tenthmuse, 3",36.53333333,-6.283333333,Cadiz,Bradstreet,4
42,2435,"nightbefore, 2",36.53333333,-6.283333333,Cadiz,Garnett,2
13,2434,"zophiel1834, 2",23.05111111,-81.57527778,Cafetal San Patricio,Brooks,2
74,2433,"alabama, 2",32.31694444,-87.10138889,Cahawba,Royall,2
1,2432,"jews, 2",34.8,114.3,Cai-Fong-Fou,Adams,2
6,2427,"poems, 2",51.4736,-0.0912,Camberwell,Barber,2
1,2420,"newengland, 2",46.16666667,-60.75,Cape-Breton,Adams,2
60,2419,"gleaner, 2",19.76,-72.2,Cape Francois,Murray,2
66,2417,"poems1667, 1; poems1664, 1",51.96666667,-8.583333333,Carbury,Philips-K,2
114,2415,"urania, 2",46.761,13.819,Carinthia,Wroth,2
89,2414,"changingscenes, 2",51.22277778,6.771111111,Carlstadt,Unknown,2
11,2413,"several, 1; tenthmuse, 1",30.2907,57.0679,Carmania,Bradstreet,2
11,2411,"several, 1; tenthmuse, 1",40.195,23.33,Cassandria,Bradstreet,2
1,2410,"jews, 2",51.31666667,9.5,Cassel,Adams,2
29,2408,"letters, 2",44.04083333,1.107777778,Castelsarasin,Cushing,2
1,2404,"newengland, 2",34.46694444,-80.88888889,Catabaw,Adams,2
91,2403,"mental, 2",41.81666667,1.466666667,Catalonia,Wakefield,2
23,2401,"essays, 1",42.22111111,-73.86638889,Catskill Mountains,Chandler,1
89,2401,"changingscenes, 3",42.22111111,-73.86638889,Catskill Mountains,Unknown,3
149,2400,"poems, 1",53.991,-7.3601,Cavan,Quigley,1
54,2400,"sgelaighe, 1",53.991,-7.3601,Cavan,Liddiard,1
19,2399,"william, 2",53.8315,-1.1309,Cawood,Cavendish,2
71,2397,"poetical, 2",45.26027778,6.900833333,Cenis,Robinson,2
114,2395,"urania, 2",38.25,20.5,Cephalonia,Wroth,2
51,2394,"museum, 2",-3.133333333,129.5,Ceram,Lennox,2
1,2390,"newengland, 1",45.4495,-73.2767,Chamblee,Adams,1
71,2390,"thoughts, 1",45.4495,-73.2767,Chamblee,Robinson,1
1,2387,"newengland, 1",42.37055556,-71.05361111,Charles River,Adams,1
24,2387,"pilgrimpeep, 1",42.37055556,-71.05361111,Charles River,Cheney,1
60,2387,"gleaner, 1",42.37055556,-71.05361111,Charles River,Murray,1
7,2387,"patchwork, 1",42.37055556,-71.05361111,Charles River,Barker,1
1,2386,"newengland, 1",51.7361,0.4798,Chelmsford,Adams,1
20,2386,"maldef, 1",51.7361,0.4798,Chelmsford,Cellier,1
67,2385,"innocent, 2",51.47916667,-0.157222222,Chelsey-Reach,Pix,2
45,2383,"anjou, 2",53.16666667,-2.583333333,Chestershire,Holford,2
116,2382,"apologie, 1",50.83652,-0.77918,Chichester,Bacon,1
81,2382,"desmond, 1",50.83652,-0.77918,Chichester,Smith,1
5,2381,"works2, 2",51.6225,0.07227,Chigwell,Barbauld,2
46,2380,"texas, 2",28.63527778,-106.0888889,Chihuahua,Holley,2
51,2378,"museum, 2",47.16777778,0.243611111,Chinon,Lennox,2
19,2377,"philosophical, 2",38.4,26.01666667,Chios,Cavendish,2
101,2374,"academia, 2",51.75,-1.254722222,Christ-Church,Danvers,2
11,2373,"tenthmuse, 1; several, 1",17.25,-62.66666667,Christophers,Bradstreet,2
112,2369,"poems, 1",53.365,-6.21,Clontarf,Owenson,1
89,2369,"changingscenes, 1",53.365,-6.21,Clontarf,Unknown,1
91,2368,"mental, 2",42.25,42.7,Colchis,Wakefield,2
89,2366,"memoir, 2",42.3,-71.8,Commonwealth,Unknown,2
112,2365,"irishharp, 2",53.78,-9.05,Connaught,Owenson,2
107,2364,"miscellanies, 2",51.44451111,-0.565369444,Cooper's Hill,Jones-M,2
1,2363,"jews, 1",55.67611111,12.56833333,Copenhagen,Adams,1
70,2363,"narrativelife, 1",55.67611111,12.56833333,Copenhagen,Prince,1
114,2362,"urania, 2",39.58333333,19.86666667,Corfu,Wroth,2
17,2360,"edoct, 1; history, 1",51.89722222,-8.47,Cork-Castle,Cary-E,2
28,2359,"belles, 1",51.5135,-0.085,Cornhill,Cowley,1
60,2359,"gleaner, 1",51.5135,-0.085,Cornhill,Murray,1
12,2358,"emily, 2",47.4,-70.38333333,Coudre,Brooke,2
25,2357,"just, 1",52.40805556,-1.510555556,Coventry,Chidley,1
43,2357,"romance, 1",52.40805556,-1.510555556,Coventry,Green,1
12,2356,"emily, 1",50.7595,-1.3002,Cowes,Brooke,1
49,2356,"memoir, 1",50.7595,-1.3002,Cowes,Kilham,1
163,2355,"midwifery, 2",51.0229,-3.0377,Creech,Stone,2
8,2354,"miscellany, 2",45.13333333,10.03333333,Cremona,Behn,2
1,2353,"jews, 2",45.3,34.4,Crimea,Adams,2
70,2352,"narrativelife, 2",60,29.76666667,Cronstradt,Prince,2
89,2351,"brideling, 2",51.5163,-0.08145,Crowne Alley,Unknown,2
44,2350,"spectator04, 1; spectator01, 1",51.50527778,-0.113888889,Cupers,Haywood,2
18,2349,"doom, 2",18.53,31.84,Cush,Cary-M,2
7,2348,"lining, 2",51.5087,-0.082388889,Custom-House,Barker,2
1,2347,"jews, 1",45.7,26.5,Dacia,Adams,1
79,2347,"aborigines, 1",45.7,26.5,Dacia,Sigourney,1
1,2346,"newengland, 2",41.40222222,-73.47111111,Danbury,Adams,2
71,2345,"poetical, 1",45.2175,29.76138889,Danube,Robinson,1
79,2345,"aborigines, 1",45.2175,29.76138889,Danube,Sigourney,1
125,2344,"poems, 1",51.2226,1.4006,Deal,Carter,1
49,2344,"memoir, 1",51.2226,1.4006,Deal,Kilham,1
89,2343,"changingscenes, 2",41,-77.5,Deits,Unknown,2
13,2341,"zophiel1834, 1; zophiel1825, 1",38.4823,22.5013,Delphi,Brooks,2
14,2341,"reformation, 1",38.4823,22.5013,Delphi,Bullard,1
85,2341,"poems, 1",38.4823,22.5013,Delphi,Tollet,1
26,2340,"appeal, 2",6.8121,-58.1701,Demerara,Child,2
107,2339,"miscellanies, 2",51.5,-0.45,Denham Court,Jones-M,2
12,2338,"emily, 2",46.65,-71.93333333,Des Chambeaux,Brooke,2
51,2333,"museum, 2",7.296388889,80.635,Digligyneur,Lennox,2
26,2332,"appeal, 2",38.90472222,-77.01638889,District Of Columbia,Child,2
74,2331,"alabama, 2",34.73,-86.585,Ditto's Landing,Royall,2
5,2330,"legacy, 1; works2, 1",51.234,-0.3318,Dorking,Barbauld,2
5,2329,"works2, 2",45.05855556,4.72675,Doux,Barbauld,2
86,2328,"stone, 2",51.511,-0.089,Dowgate,Trapnel,2
61,2327,"poemsplay, 2",54.322,-5.703,Down,Nooth,2
44,2326,"spectator03, 1",56.462,-2.9707,Dundee,Haywood,1
51,2326,"museum, 1",56.462,-2.9707,Dundee,Lennox,1
1,2325,"newengland, 1; jews, 1",51.88603056,-0.521019444,Dunstable,Adams,2
6,2324,"poems, 2",52.91131667,-9.066316667,Dysert,Barber,2
51,2322,"museum, 2",52.1898,0.5803,East Anglia,Lennox,2
19,2321,"william, 2",53.91666667,-0.5,East-Riding,Cavendish,2
39,2318,"shortrelation, 1",55.953,-3.189,Edenburgh,Evans,1
89,2318,"witchcrafts, 1",55.953,-3.189,Edenburgh,Unknown,1
42,2314,"nightbefore, 1",53.92222222,8.722222222,Elb,Garnett,1
44,2314,"spectator02, 1",53.92222222,8.722222222,Elb,Haywood,1
1,2313,"newengland, 2",41.475,-70.76666667,Elizabeth's Isles,Adams,2
70,2312,"narrativelife, 2",56.03611111,12.60833333,Elsinore,Prince,2
1,2311,"jews, 1",52.4,0.26,Ely,Adams,1
30,2311,"blasphemous, 1",52.4,0.26,Ely,Davies,1
30,2308,"bethlehem, 1; gospel, 1",51.443,-1.106,Englefield Manor,Davies,2
28,2306,"poems, 2",54.52833333,-3.876055556,Ennersdale,Cowley,2
60,2302,"gleaner, 2",42.8337,-70.90673889,Essex Merrimack,Murray,2
1,2300,"newengland, 2",33.40728056,-80.29875,Eutaw-Springs,Adams,2
28,2297,"townbefore, 2",51.51138889,-0.151388889,Fish-Street Hill,Cowley,2
29,2296,"letters, 2",42.8944,2.9794,Fitou,Cushing,2
74,2295,"alabama, 2",33.66861111,-84.43972222,Flint,Royall,2
19,2294,"william, 2",53.20446944,-1.072761111,Forrest Of Sherwood,Cavendish,2
1,2293,"newengland, 2",40.44162778,-80.01094444,Fort-Du-Quesne,Adams,2
1,2292,"newengland, 1",41.3553,-72.082,Fort-Griswold,Adams,1
24,2292,"pilgrimpeep, 1",41.3553,-72.082,Fort-Griswold,Cheney,1
5,2291,"works2, 1",56.0645,-3.727,Forth,Barbauld,1
51,2291,"museum, 1",56.0645,-3.727,Forth,Lennox,1
1,2290,"newengland, 2",43.8775,-69.52472222,Fort Pemaquid,Adams,2
5,2287,"poems, 1; works1, 1",51.2279,-2.3215,Frome,Barbauld,2
1,2286,"newengland, 2",44.23333333,-76.47861111,Frontenac,Adams,2
81,2285,"beachy, 1; conversations, 1",-54.362,-67.638,Fuego,Smith,2
1,2283,"jews, 2",41.02277778,28.97361111,Galata,Adams,2
104,2277,"song, 2",31.859,34.919,Gazara,Francis,2
11,2276,"several, 1; tenthmuse, 1",25.30541111,60.64108056,Gedrosia,Bradstreet,2
5,2275,"works2, 1",47.2417,5.2239,Genlis,Barbauld,1
61,2275,"poemsplay, 1",47.2417,5.2239,Genlis,Nooth,1
6,2274,"poems, 2",50.34677778,13.42866667,Germania,Barber,2
104,2273,"song, 2",31.859,34.919,Gezer,Francis,2
81,2270,"manor, 2",56.594,-4.303,Glenlyon,Smith,2
1,2269,"newengland, 2",37.27,-76.49861111,Glocester-Point,Adams,2
139,2268,"poems, 2",59.21777778,10.93083333,Glomins,Campbell,2
1,2267,"jews, 1",15.5,73.83,Goa,Adams,1
40,2267,"muliebris, 1",15.5,73.83,Goa,Evelyn,1
89,2266,"witchcrafts, 2",52.58333333,-0.883333333,Goadby,Unknown,2
28,2265,"belles, 1",17.38,78.4,Golconda,Cowley,1
75,2265,"hastiniad, 1",17.38,78.4,Golconda,Ryves,1
23,2264,"essays, 1",5.55,-0.2167,Gold Coast,Chandler,1
26,2264,"appeal, 1",5.55,-0.2167,Gold Coast,Child,1
21,2263,"platlady, 1",51.51166667,-0.137222222,Golden-Square,Centlivre,1
44,2263,"spectator03, 1",51.51166667,-0.137222222,Golden-Square,Haywood,1
19,2262,"natpix, 2",51.51567222,-0.095894444,Goldsmiths-Hall,Cavendish,2
46,2260,"texas, 2",28.66666667,-97.4,Goliad,Holley,2
11,2258,"tenthmuse, 1; several, 1",39.655,31.99416667,Gordium,Bradstreet,2
1,2257,"newengland, 2",43.16333333,-70.64861111,Gorgiana,Adams,2
1,2256,"jews, 2",51.53388889,9.935555556,Gottingen,Adams,2
89,2255,"changingscenes, 2",40.8,-73.3,Gowawnes,Unknown,2
104,2254,"miscpoems, 1",37.96666667,23.71666667,Graecia,Francis,1
42,2254,"nightbefore, 1",37.96666667,23.71666667,Graecia,Garnett,1
42,2253,"nightbefore, 2",37.17805556,-3.600833333,Granada,Garnett,2
74,2252,"alabama, 1",30.26138889,120.2238889,Grand Canal,Royall,1
89,2252,"changingscenes, 1",30.26138889,120.2238889,Grand Canal,Unknown,1
45,2247,"gresford, 2",53.087,-2.966,Gresford's Vale,Holford,2
50,2245,"poems2, 1",51.52027778,-0.090833333,Grub-Street,Leapor,1
71,2245,"poetical, 1",51.52027778,-0.090833333,Grub-Street,Robinson,1
38,2244,"alcon, 2",36.78333333,-6.35,Guadalquiver,Erskine,2
114,2241,"urania, 2",38.25,21.25,Gulfe Of Lepanto,Wroth,2
70,2240,"westindies, 1; narrativelife, 1",11.5,-71,Gulf Of Venezuela,Prince,2
24,2239,"pilgrimpeep, 2",42.00517222,-70.59951667,Gurnet,Cheney,2
89,2237,"changingscenes, 2",40.85370278,-74.82487778,Hacketstown,Unknown,2
1,2236,"newengland, 2",42.34166667,-72.58888889,Hadley,Adams,2
11,2235,"tenthmuse, 1; several, 1",37.03777778,27.42416667,Hallicarnassus,Bradstreet,2
17,2234,"mariam, 1",51.5406,0.0017,Ham,Cary-E,1
5,2234,"works2, 1",51.5406,0.0017,Ham,Barbauld,1
1,2233,"newengland, 2",51.422,-0.367,Hampton,Adams,2
74,2232,"alabama, 2",54.58,-6.03,Hannah's Town,Royall,2
46,2231,"texas, 2",40.26972222,-76.87555556,Harrisburg,Holley,2
19,2230,"william, 2",54.69,-1.21,Hartlepool,Cavendish,2
1,2229,"newengland, 1",42.37083333,-72.59861111,Hatfield,Adams,1
107,2229,"miscellanies, 1",42.37083333,-72.59861111,Hatfield,Jones-M,1
1,2228,"newengland, 2",23.13333333,-82.38333333,Havannah,Adams,2
29,2227,"letters, 2",49.49,0.1,Havre De Grace,Cushing,2
117,2224,"poems, 1",57.83333333,-7,Hebrid,Bannerman,1
79,2224,"aborigines, 1",57.83333333,-7,Hebrid,Sigourney,1
42,2223,"nightbefore, 2",40.73055556,26.035,Hebrus,Garnett,2
117,2222,"poems, 1",63.98333333,-19.7,Hecla,Bannerman,1
79,2222,"aborigines, 1",63.98333333,-19.7,Hecla,Sigourney,1
1,2221,"jews, 2",24.46666667,39.6,Hedjas,Adams,2
71,2220,"poetical, 1",40.16666667,22.48333333,Helicon,Robinson,1
94,2220,"poems, 1",40.16666667,22.48333333,Helicon,Wheatley,1
11,2218,"several, 1; tenthmuse, 1",38.58833333,26.81583333,Hemus,Bradstreet,2
107,2216,"miscellanies, 2",53.3525,-6.27,Henrietta-Street,Jones-M,2
19,2215,"william, 2",55.29860278,-2.025169444,Hepple,Cavendish,2
1,2213,"newengland, 2",50.66611111,8.591111111,Hesse Cassel,Adams,2
11,2211,"tenthmuse, 2",32.82777778,73.63888889,Hidaspis,Bradstreet,2
86,2207,"stone, 2",51.5329,-0.455,Hillington,Trapnel,2
128,2205,"antonie, 1; antonius, 1",36.5656,53.0588,Hircanie,Sidney,2
51,2204,"museum, 2",-3.638055556,128.1172222,Hitto,Lennox,2
30,2203,"wordofgod, 1",51.5172,-0.1182,Holborn Hill,Davies,1
81,2203,"manor, 1",51.5172,-0.1182,Holborn Hill,Smith,1
74,2202,"alabama, 2",35.95916667,-83.85,Holston,Royall,2
51,2201,"museum, 2",-3.574930556,128.647,Honimoa,Lennox,2
104,2200,"miscpoems, 1",51.062,-0.325,Horsham,Francis,1
81,2200,"sonnets, 1",51.062,-0.325,Horsham,Smith,1
103,2199,"poems, 2",51.1701,0.819,Hothfeild,Finch-A,2
47,2198,"amaria, 2",21.91666667,88.08333333,Hougly,Jones-A,2
54,2197,"theodore, 2",50.67063056,4.3948,Hougomont,Liddiard,2
163,2193,"midwifery, 2",51.205,-2.982,Huntspill,Stone,2
104,2192,"miscpoems, 1",37.5,14,Hybla,Francis,1
71,2192,"poetical, 1",37.5,14,Hybla,Robinson,1
13,2191,"zophiel1834, 1",36.5656,53.0588,Hyrcania,Brooks,1
150,2191,"poems, 1",36.5656,53.0588,Hyrcania,Killigrew,1
26,2189,"appeal, 1",40,-89,Illinois,Child,1
74,2189,"alabama, 1",40,-89,Illinois,Royall,1
125,2187,"poems, 2",37.9397,23.6808,Ilyssus,Carter,2
26,2185,"appeal, 1",40,-86,Indiana,Child,1
74,2185,"alabama, 1",40,-86,Indiana,Royall,1
74,2184,"alabama, 2",34.70152778,-86.94113889,Indian Creek,Royall,2
1,2182,"jews, 1",21,78,Indostan,Adams,1
28,2182,"poems, 1",21,78,Indostan,Cowley,1
51,2182,"museum, 1",21,78,Indostan,Lennox,1
75,2182,"hastiniad, 1",21,78,Indostan,Ryves,1
44,2181,"spectator03, 1; spectator04, 1",51.5125,-0.109,Inner-Temple,Haywood,2
139,2180,"poems, 2",57.4718,-4.2254,Inverness,Campbell,2
11,2179,"several, 1",52.05944444,1.155555556,Ipswich,Bradstreet,1
66,2179,"poems1667, 1",52.05944444,1.155555556,Ipswich,Philips-K,1
29,2177,"letters, 2",45.79722222,4.831666667,Isle Barbe,Cushing,2
29,2176,"letters, 2",48.85472222,2.3475,Isle De La Cite,Cushing,2
39,2175,"shortrelation, 1",54.25,-4.5,Isle Of Man,Evans,1
61,2175,"poemsplay, 1",54.25,-4.5,Isle Of Man,Nooth,1
49,2174,"memoir, 2",9.462694444,-13.79617778,Isles De Los,Kilham,2
1,2173,"jews, 2",32.64472222,51.6675,Ispahan,Adams,2
74,2170,"alabama, 2",32.29888889,-90.18472222,Jackson,Royall,2
60,2168,"gleaner, 1",36.94166667,-76.44361111,James,Murray,1
79,2168,"aborigines, 1",36.94166667,-76.44361111,James,Sigourney,1
1,2167,"jews, 1",31.88333333,34.73333333,Jamnia,Adams,1
104,2167,"song, 1",31.88333333,34.73333333,Jamnia,Francis,1
51,2166,"museum, 2",56.462,-2.9707,Jay,Lennox,2
5,2165,"works2, 1",50.92722222,11.58611111,Jena,Barbauld,1
54,2165,"theodore, 1",50.92722222,11.58611111,Jena,Liddiard,1
55,2164,"name1663, 1",31.87111111,35.44416667,Jerico,Love,1
95,2164,"humblesalutation, 1",31.87111111,35.44416667,Jerico,Whitrow,1
89,2163,"changingscenes, 2",40,-74.5,Jerseys,Unknown,2
49,2162,"memoir, 2",13.33861111,-16.3825,Jillifree,Kilham,2
29,2160,"letters, 2",47.9831,3.3978,Joigny,Cushing,2
1,2159,"jews, 2",32.83222222,35.2775,Jotaphata,Adams,2
28,2156,"theman, 2",51.5447,-0.1459,Kentish Town,Cowley,2
74,2155,"alabama, 2",38.68333333,-85.18833333,Kentucky River,Royall,2
5,2154,"poems, 1",57.81666667,-8.583333333,Kilda,Barbauld,1
53,2154,"effusions, 1",57.81666667,-8.583333333,Kilda,Lickbarrow,1
6,2153,"poems, 2",54.2,-9.2166,Killala,Barber,2
20,2152,"maldef, 2",51.49916667,-0.124722222,Kings-Bench Bar,Cellier,2
28,2151,"townbefore, 1",51.49916667,-0.124722222,King's Bench Prison,Cowley,1
30,2151,"reader, 1",51.49916667,-0.124722222,King's Bench Prison,Davies,1
1,2150,"newengland, 2",50.2833,-3.7765,King's Bridge,Adams,2
1,2148,"newengland, 1",13.45305556,-16.5775,Kingstown,Adams,1
49,2148,"memoir, 1",13.45305556,-16.5775,Kingstown,Kilham,1
90,2147,"lampvirginity, 2",32.81666667,35.03333333,Kishon,Various,2
49,2146,"memoir, 2",8.469916667,-13.19236111,Kissey,Kilham,2
1,2145,"newengland, 2",43.09305556,-70.72805556,Kittery,Adams,2
112,2144,"poems, 2",53.5,-7.5,Knocksheban,Owenson,2
49,2143,"memoir, 2",8.484444444,-13.23444444,Kongo Town,Kilham,2
48,2142,"account, 2",16.85,96.18333333,Kyoon-Oo,Judson,2
114,2140,"urania, 2",36.91666667,22.66666667,Laconia,Wroth,2
29,2138,"letters, 2",49.9133,4.6936,Lafour,Cushing,2
29,2136,"letters, 2",43.7808,6.3422,La Palud,Cushing,2
29,2134,"letters, 2",44.59,-0.04,La Reole,Cushing,2
2,2133,"epistles, 2",41.9,12.5,Latium,Aikin,2
51,2132,"museum, 2",35.88333333,14.5,La Valette,Lennox,2
44,2131,"love02, 2",47.3217,-0.9258,Le Beausse,Haywood,2
29,2130,"letters, 2",47.7425,-2.5,Le Cours,Cushing,2
4,2129,"venture, 1",51.51027778,-0.130277778,Leicester-Fields,Ariadne,1
44,2129,"spectator03, 1",51.51027778,-0.130277778,Leicester-Fields,Haywood,1
49,2128,"memoir, 2",8.402777778,-13.20219444,Leicester Mountain,Kilham,2
14,2127,"reformation, 2",51.33333333,12.38333333,Leipsic,Bullard,2
22,2126,"poems, 1",55.98,-3.17,Leith,Chalmers,1
5,2126,"legacy, 1",55.98,-3.17,Leith,Barbauld,1
49,2124,"memoir, 2",8.333333333,-13.06666667,Leopold,Kilham,2
29,2123,"letters, 2",43.7309,7.4241,Le Rocher,Cushing,2
29,2122,"letters, 2",43.5,1.333333333,Lescure,Cushing,2
51,2121,"museum, 2",-3.7,128.1666667,Leytimor,Lennox,2
5,2119,"works1, 1; poems, 1",53.35,-6.266666667,Liffy,Barbauld,2
5,2118,"poems, 1; works1, 1",44.45,8.766666667,Liguria,Barbauld,2
60,2116,"gleaner, 1",52.6835,-1.826530556,Litchfield,Murray,1
77,2116,"advocate, 1",52.6835,-1.826530556,Litchfield,Scott,1
114,2114,"urania, 2",44.47083333,34.14388889,Liuadia,Wroth,2
169,2113,"poems, 2",53.0903,-4.0517,Llanberis Pass,Roscoe,2
139,2112,"poems, 1",55.95972222,-3.159722222,Lochend,Campbell,1
22,2112,"poems, 1",55.95972222,-3.159722222,Lochend,Chalmers,1
60,2111,"gleaner, 2",56.20018889,-3.379630556,Lochlevin,Murray,2
